highway,name,lat,lon
,国道2号IC,34.696788,135.202237
,二宮IC,34.70135,135.19872
,神若IC,34.702624,135.198519
,新神戸駅IC,34.705694,135.197017
,尾鷲北IC,34.08088027003805,136.18332906461035
,新津西SIC,37.820933,139.095283
,蓮田SIC,35.999281,139.667017
,山王／尾頭橋IC,35.145663,136.892868
,安曇野IC,36.29797,137.925674
,島屋出口IC,34.67308,135.434147
,蒲江IC,32.813121,131.890501
,蒲江波当津IC,32.74292,131.855588
,北浦IC,32.711277,131.816002
,香南かがみIC,33.551644,133.733451
,五斗蒔SIC,35.37037,137.158287
,階上IC,40.44810421412827,141.64712846757908
,薩摩川内水引IC,31.848866,130.252467
,薩摩川内高江IC,31.822471,130.259736
,留萌大和田IC,43.910265,141.690838
,更別IC,42.647551,143.179111
,清武南IC,31.837747,131.35801
,紀伊長島IC,34.216671,136.329825
,七尾大泊IC,36.971975,137.048102
,七尾城山IC,37.022353,136.985464
,六戸JCT,40.649829,141.352801
,六戸・三沢IC,40.669815,141.310024
,上北IC,40.689509,141.278021
,口和IC,34.91337,132.881053
,高野IC,35.021033,132.878997
,雲南吉田IC,35.166129,132.829618
,海老名IC,35.438977,139.376502
,圏央厚木IC,35.479932,139.372795
,美深北IC,44.496093,142.339572
,北見西IC,43.769337,143.853632
,北見中央IC,43.79387,143.91812
,北見東IC,43.829187,143.943298
,酒々井IC,35.726619,140.292816
,茅ヶ崎JCT,35.349962,139.393037
,寒川南IC,35.352337,139.380097
,大原野IC,34.964716,135.655261
,長岡京IC,34.915053,135.686759
,茂原北IC,35.490029,140.274039
,茂原長南IC,35.403498,140.250849
,市原鶴舞IC,35.358351,140.182785
,木更津東IC,35.359193,140.05347
,新千歳空港IC,42.776707,141.628151
,坂戸西SIC,35.966033,139.380495
,谷津船橋IC,35.676316,140.002959
,賀田IC,33.970626,136.163046
,熊野新鹿IC,33.931357,136.138346
,熊野大泊IC,33.901365,136.114627
,湖東三山SIC,35.16501,136.274944
,小坂北IC,40.371421,140.710181
,小坂JCT,40.37186,140.714603
,六番南IC,35.121037,136.88764
,港明IC,35.111341,136.885632
,海老江JCT,34.696436,135.464418
,三宅西IC,34.592991,135.54611
,海老名JCT,35.42247,139.374871
,三宅JCT,34.593081,135.55187
,鳥取西IC,35.49341774133244,134.1908406023324
,中山IC,35.508642,133.582002
,富谷IC,38.387245,140.8776
,蒲生SIC,35.071289,136.158505
,北見北上IC,43.771425,143.868637
,北見川東IC,43.809454,143.933832
,三島塚原IC,35.13080397,138.94321928
